# where T1/2 is the beta-decay half-life in seconds
# from http://t2.lanl.gov/nis/data/astro/molnix96/tbeta.html
# direct link: http://t2.lanl.gov/nis/data/astro/molnix96/bethlp.dat
#   Z    N T1/2
    9    8 7.60000E+02
    9    9 1.37425E+04
   10    8 3.15412E+02
   10    9 3.28975E+01
   11    8 1.54427E-01
   11    9 9.10662E-02
   11   10 7.44654E+01
   11   11 6.55995E+02
   12    8 3.84488E-01
   12    9 3.22954E-02
   12   10 1.16748E+02
   12   11 3.24295E+01
   13    8 3.45304E-02
   13    9 2.02195E-02
   13   10 1.14767E-01
   13   11 1.89324E-01
   13   12 2.27100E+01
   13   13 5.80181E+01
   14    8 5.04739E-02
   14    9 1.16103E-02
   14   10 2.59871E-01
   14   11 3.89490E-02
   14   12 3.55210E+01
   14   13 1.47436E+01
   15    8 8.72076E-03
   15    9 7.37145E-03
   15   10 2.43059E-02
   15   11 7.70174E-03
   15   12 1.12184E-01
   15   13 1.14715E-01
   15   14 8.62285E+00
   15   15 1.84209E+01
   16    8 6.18097E-03
   16    9 4.87501E-03
   16   10 3.43711E-02
   16   11 1.04623E-02
   16   12 2.14388E-01
   16   13 3.67534E-02
   16   14 7.28168E+00
   16   15 3.68055E+00
   17    8 1.14701E-03
   17    9 1.25814E-03
   17   10 2.39196E-03
   17   11 1.74337E-03
   17   12 1.10539E-02
   17   13 3.26092E-02
   17   14 1.47634E-01
   17   15 3.95697E-01
   17   16 1.41797E+01
   17   17 2.77276E+02
   17   19 8.10736E+05
   18    9 1.70079E-03
   18   10 1.43470E-02
   18   11 4.05484E-03
   18   12 4.02813E-02
   18   13 1.06303E-02
   18   14 2.03402E-01
   18   15 5.05297E-02
   18   16 8.18580E+00
   18   17 6.89842E+00
   18   19 3.35689E+05
   19   10 1.18365E-03
   19   11 7.70824E-04
   19   12 4.34515E-03
   19   13 3.28101E-03
   19   14 4.14801E-02
   19   15 4.23211E-02
   19   16 1.86237E-01
   19   17 1.27017E-01
   19   18 7.52921E+00
   19   19 2.47103E+01
   19   21 6.93147E+09
   20   10 1.30205E-03
   20   11 8.91972E-04
   20   12 5.15634E-03
   20   13 1.91529E-03
   20   14 3.01499E-02
   20   15 1.11794E-02
   20   16 1.43939E-01
   20   17 1.06644E-01
   20   18 3.19391E+00
   20   19 1.58797E+00
   20   21 1.55826E+09
   21   11 1.09220E-03
   21   12 3.68172E-03
   21   13 1.62346E-03
   21   14 1.49860E-02
   21   15 8.77411E-03
   21   16 5.60044E-02
   21   17 4.23142E-02
   21   18 7.71630E-02
   21   19 1.07239E-01
   21   20 1.05371E+00
   21   21 1.49459E+00
   21   22 2.51945E+11
   21   23 5.66842E+01
   21   25 6.93147E+09
   22   12 3.40820E-03
   22   13 1.23056E-03
   22   14 1.25000E-02
   22   15 7.10660E-03
   22   16 6.31773E-02
   22   17 4.28968E-02
   22   18 2.85253E-01
   22   19 9.73934E-02
   22   20 1.73928E+00
   22   21 2.55341E+00
   22   22 6.93147E+09
