# νp-process parameterized wind trajectory
# Ye = 0.600000
# t_launch = 1.000 s
# T0 = 10.0 GK, rho0 = 100000000.0 g/cm3, r0 = 2000000.0 cm
# Columns: time[s]  T[GK]  rho[g/cm3]  r[cm]
1.000000e+00  1.000000e+01  1.000000e+08  2.000000e+06
1.017238e+00  9.886704e+00  9.500180e+07  5.447668e+06
1.034774e+00  9.774691e+00  9.025342e+07  8.954767e+06
1.052612e+00  9.663947e+00  8.574238e+07  1.252232e+07
1.070757e+00  9.554459e+00  8.145680e+07  1.615138e+07
1.089215e+00  9.446210e+00  7.738543e+07  1.984299e+07
1.107991e+00  9.339188e+00  7.351755e+07  2.359824e+07
1.127091e+00  9.233379e+00  6.984300e+07  2.741823e+07
1.146520e+00  9.128768e+00  6.635211e+07  3.130407e+07
1.166284e+00  9.025342e+00  6.303570e+07  3.525689e+07
1.186389e+00  8.923089e+00  5.988505e+07  3.927785e+07
1.206841e+00  8.821993e+00  5.689187e+07  4.336812e+07
1.227645e+00  8.722043e+00  5.404831e+07  4.752891e+07
1.248807e+00  8.623226e+00  5.134686e+07  5.176142e+07
1.270334e+00  8.525528e+00  4.878045e+07  5.606689e+07
1.292233e+00  8.428937e+00  4.634230e+07  6.044658e+07
1.314509e+00  8.333440e+00  4.402602e+07  6.490177e+07
1.337169e+00  8.239025e+00  4.182551e+07  6.943376e+07
1.360219e+00  8.145680e+00  3.973499e+07  7.404388e+07
1.383667e+00  8.053393e+00  3.774896e+07  7.873346e+07
1.407519e+00  7.962151e+00  3.586219e+07  8.350389e+07
1.431783e+00  7.871943e+00  3.406973e+07  8.835654e+07
1.456464e+00  7.782756e+00  3.236685e+07  9.329286e+07
1.481571e+00  7.694581e+00  3.074909e+07  9.831426e+07
1.507111e+00  7.607404e+00  2.921219e+07  1.034222e+08
1.533091e+00  7.521215e+00  2.775211e+07  1.086182e+08
1.559519e+00  7.436002e+00  2.636500e+07  1.139038e+08
1.586403e+00  7.351755e+00  2.504723e+07  1.192805e+08
1.613750e+00  7.268463e+00  2.379532e+07  1.247499e+08
1.641568e+00  7.186114e+00  2.260598e+07  1.303136e+08
1.669866e+00  7.104698e+00  2.147609e+07  1.359732e+08
1.698652e+00  7.024204e+00  2.040267e+07  1.417303e+08
1.727934e+00  6.944622e+00  1.938291e+07  1.475867e+08
1.757720e+00  6.865943e+00  1.841411e+07  1.535440e+08
1.788020e+00  6.788154e+00  1.749374e+07  1.596041e+08
1.818843e+00  6.711247e+00  1.661936e+07  1.657686e+08
1.850197e+00  6.635211e+00  1.578870e+07  1.720394e+08
